Price,TimeInsulated,Capacity,Cleanbility,Containment,TimeCost,CapacityCost,CleanabilityCost,ContainmentCost,TotalCost,TotalGM,MktShare,EPP,Revenue
$10,0.5 hrs,12 oz,Difficult,Leak Resistant,0.5,1.0,1.0,1.0,3.5,6.5,0.18846297928373026,1.2250093653442466,1.8846297928373026
$10,0.5 hrs,12 oz,Fair,Slosh Resistant,0.5,1.0,2.2,0.5,4.2,5.8,0.15066373329843719,0.8738496531309357,1.5066373329843719
$10,0.5 hrs,12 oz,Fair,Spill Resistant,0.5,1.0,2.2,0.8,4.5,5.5,0.21394019747858584,1.176671086132222,2.1394019747858586
$10,0.5 hrs,12 oz,Fair,Leak Resistant,0.5,1.0,2.2,1.0,4.7,5.3,0.3123245782414805,1.6553202646798466,3.123245782414805
$10,0.5 hrs,12 oz,Easy,Slosh Resistant,0.5,1.0,3.0,0.5,5.0,5.0,0.20696457300398394,1.0348228650199196,2.069645730039839
$10,0.5 hrs,12 oz,Easy,Spill Resistant,0.5,1.0,3.0,0.8,5.3,4.7,0.2856426299231087,1.342520360638611,2.856426299231087
$10,0.5 hrs,12 oz,Easy,Leak Resistant,0.5,1.0,3.0,1.0,5.5,4.5,0.39724239595731375,1.787590781807912,3.9724239595731374
$10,0.5 hrs,20 oz,Difficult,Slosh Resistant,0.5,2.6,1.0,0.5,4.6,5.4,0.09413901351108735,0.5083506729598717,0.9413901351108734
$10,0.5 hrs,20 oz,Difficult,Spill Resistant,0.5,2.6,1.0,0.8,4.8999999999999995,5.1000000000000005,0.14340892412512612,0.7313855130381434,1.4340892412512614
$10,0.5 hrs,20 oz,Difficult,Leak Resistant,0.5,2.6,1.0,1.0,5.1,4.9,0.2229031499108808,1.092225434563316,2.229031499108808
$10,0.5 hrs,20 oz,Fair,Slosh Resistant,0.5,2.6,2.2,0.5,5.800000000000001,4.199999999999999,0.1747561843891435,0.7339759744344025,1.747561843891435
$10,0.5 hrs,20 oz,Fair,Spill Resistant,0.5,2.6,2.2,0.8,6.1000000000000005,3.8999999999999995,0.25138550816543476,0.9804034818451954,2.5138550816543477
$10,0.5 hrs,20 oz,Fair,Leak Resistant,0.5,2.6,2.2,1.0,6.300000000000001,3.6999999999999993,0.36519903564999684,1.351236431904988,3.6519903564999683
$10,0.5 hrs,20 oz,Easy,Slosh Resistant,0.5,2.6,3.0,0.5,6.6,3.4000000000000004,0.24006659419421036,0.8162264202603153,2.4006659419421035
$10,0.5 hrs,20 oz,Easy,Spill Resistant,0.5,2.6,3.0,0.8,6.8999999999999995,3.1000000000000005,0.33287829726836554,1.0319227215319333,3.3287829726836553
$10,0.5 hrs,20 oz,Easy,Leak Resistant,0.5,2.6,3.0,1.0,7.1,2.9000000000000004,0.45870289244637025,1.330238388094474,4.587028924463702
$10,0.5 hrs,32 0z,Difficult,Slosh Resistant,0.5,2.8,1.0,0.5,4.8,5.2,0.08416959718981222,0.43768190538702356,0.8416959718981222
$10,0.5 hrs,32 0z,Difficult,Spill Resistant,0.5,2.8,1.0,0.8,5.1,4.9,0.12729281240309695,0.6237347807751751,1.2729281240309696
$10,0.5 hrs,32 0z,Difficult,Leak Resistant,0.5,2.8,1.0,1.0,5.3,4.7,0.19949564593577718,0.9376295358981528,1.9949564593577718
$10,0.5 hrs,32 0z,Fair,Slosh Resistant,0.5,2.8,2.2,0.5,6.0,4.0,0.1538585366520434,0.6154341466081736,1.538585366520434
$10,0.5 hrs,32 0z,Fair,Spill Resistant,0.5,2.8,2.2,0.8,6.3,3.7,0.21878696323114855,0.8095117639552497,2.1878696323114855
$10,0.5 hrs,32 0z,Fair,Leak Resistant,0.5,2.8,2.2,1.0,6.5,3.5,0.32026746120857286,1.120936114230005,3.202674612085729
$10,0.5 hrs,32 0z,Easy,Slosh Resistant,0.5,2.8,3.0,0.5,6.8,3.2,0.21169118980516735,0.6774118073765356,2.1169118980516735
$10,0.5 hrs,32 0z,Easy,Spill Resistant,0.5,2.8,3.0,0.8,7.1,2.9000000000000004,0.2905298268922717,0.842536497987588,2.905298268922717
$10,0.5 hrs,32 0z,Easy,Leak Resistant,0.5,2.8,3.0,1.0,7.3,2.7,0.4024159654926205,1.0865231068300754,4.024159654926205
$10,1 hrs,12 oz,Difficult,Slosh Resistant,1.0,1.0,1.0,0.5,3.5,6.5,0.1117341857198344,0.7262722071789236,1.117341857198344
$10,1 hrs,12 oz,Difficult,Spill Resistant,1.0,1.0,1.0,0.8,3.8,6.2,0.16325832764813025,1.0122016314184077,1.6325832764813026
$10,1 hrs,12 oz,Difficult,Leak Resistant,1.0,1.0,1.0,1.0,4.0,6.0,0.24254367292841567,1.455262037570494,2.4254367292841565
$10,1 hrs,12 oz,Fair,Slosh Resistant,1.0,1.0,2.2,0.5,4.7,5.3,0.19716257797292572,1.0449616632565062,1.9716257797292571
$10,1 hrs,12 oz,Fair,Spill Resistant,1.0,1.0,2.2,0.8,5.0,5.0,0.2758985191296325,1.3794925956481623,2.7589851912963246
$10,1 hrs,12 oz,Fair,Leak Resistant,1.0,1.0,2.2,1.0,5.2,4.8,0.38969586528515954,1.8705401533687658,3.8969586528515956
$10,1 hrs,12 oz,Easy,Slosh Resistant,1.0,1.0,3.0,0.5,5.5,4.5,0.2648854028518203,1.1919843128331913,2.648854028518203
$10,1 hrs,12 oz,Easy,Spill Resistant,1.0,1.0,3.0,0.8,5.8,4.2,0.3592435934975538,1.5088230926897261,3.592435934975538
$10,1 hrs,12 oz,Easy,Leak Resistant,1.0,1.0,3.0,1.0,6.0,4.0,0.48399368769241097,1.9359747507696439,4.83993687692411
$10,1 hrs,20 oz,Difficult,Slosh Resistant,1.0,2.6,1.0,0.5,5.1,4.9,0.12862918217141783,0.6302829926399475,1.2862918217141783
$10,1 hrs,20 oz,Difficult,Spill Resistant,1.0,2.6,1.0,0.8,5.3999999999999995,4.6000000000000005,0.19147075930088853,0.8807654927840873,1.9147075930088853
$10,1 hrs,20 oz,Difficult,Leak Resistant,1.0,2.6,1.0,1.0,5.6,4.4,0.28631395709011914,1.2597814111965244,2.8631395709011915
$10,1 hrs,20 oz,Fair,Slosh Resistant,1.0,2.6,2.2,0.5,6.300000000000001,3.6999999999999993,0.22995115720737547,0.850819281667289,2.2995115720737545
$10,1 hrs,20 oz,Fair,Spill Resistant,1.0,2.6,2.2,0.8,6.6000000000000005,3.3999999999999995,0.3238240380678567,1.1010017294307126,3.238240380678567
$10,1 hrs,20 oz,Fair,Leak Resistant,1.0,2.6,2.2,1.0,6.800000000000001,3.1999999999999993,0.4532904096160189,1.4505293107712602,4.532904096160189
$10,1 hrs,20 oz,Easy,Slosh Resistant,1.0,2.6,3.0,0.5,7.1,2.9000000000000004,0.3075667395709028,0.8919435447556182,3.075667395709028
$10,1 hrs,20 oz,Easy,Spill Resistant,1.0,2.6,3.0,0.8,7.3999999999999995,2.6000000000000005,0.4176777454917644,1.0859621382785876,4.176777454917644
$10,1 hrs,20 oz,Easy,Leak Resistant,1.0,2.6,3.0,1.0,7.6,2.4000000000000004,0.5559106644041544,1.3341855945699708,5.5591066440415435
$10,1 hrs,32 0z,Difficult,Slosh Resistant,1.0,2.8,1.0,0.5,5.3,4.7,0.11361255521610991,0.5339790095157166,1.1361255521610991
$10,1 hrs,32 0z,Difficult,Spill Resistant,1.0,2.8,1.0,0.8,5.6,4.4,0.16804468051640792,0.739396594272195,1.6804468051640793
$10,1 hrs,32 0z,Difficult,Leak Resistant,1.0,2.8,1.0,1.0,5.8,4.2,0.2528741632665002,1.0620714857193008,2.528741632665002
$10,1 hrs,32 0z,Fair,Slosh Resistant,1.0,2.8,2.2,0.5,6.5,3.5,0.20009082682803792,0.7003178938981327,2.000908268280379
$10,1 hrs,32 0z,Fair,Spill Resistant,1.0,2.8,2.2,0.8,6.8,3.2,0.279429717792001,0.8941750969344032,2.7942971779200096
$10,1 hrs,32 0z,Fair,Leak Resistant,1.0,2.8,2.2,1.0,7.0,3.0,0.39408205019056186,1.1822461505716855,3.940820501905619
$10,1 hrs,32 0z,Easy,Slosh Resistant,1.0,2.8,3.0,0.5,7.3,2.7,0.2682902944587439,0.7243837950386086,2.6829029445874393
$10,1 hrs,32 0z,Easy,Spill Resistant,1.0,2.8,3.0,0.8,7.6,2.4000000000000004,0.3620045632735877,0.8688109518566106,3.620045632735877
$10,1 hrs,32 0z,Easy,Leak Resistant,1.0,2.8,3.0,1.0,7.8,2.2,0.48471466673978586,1.066372266827529,4.847146667397858
$10,3 hrs,12 oz,Difficult,Slosh Resistant,3.0,1.0,1.0,0.5,5.5,4.5,0.14875703092884224,0.66940663917979,1.4875703092884223
$10,3 hrs,12 oz,Difficult,Spill Resistant,3.0,1.0,1.0,0.8,5.8,4.2,0.2124408056813423,0.8922513838616377,2.124408056813423
$10,3 hrs,12 oz,Difficult,Leak Resistant,3.0,1.0,1.0,1.0,6.0,4.0,0.3067022783999834,1.2268091135999335,3.0670227839998336
$10,3 hrs,12 oz,Fair,Slosh Resistant,3.0,1.0,2.2,0.5,6.7,3.3,0.25489408033388855,0.8411504651018322,2.5489408033388856
$10,3 hrs,12 oz,Fair,Spill Resistant,3.0,1.0,2.2,0.8,7.0,3.0,0.3479634877363182,1.0438904632089545,3.479634877363182
$10,3 hrs,12 oz,Fair,Leak Resistant,3.0,1.0,2.2,1.0,7.2,2.8,0.4736176202641338,1.3261293367395746,4.736176202641338
$10,3 hrs,12 oz,Easy,Slosh Resistant,3.0,1.0,3.0,0.5,7.5,2.5,0.3317393177258583,0.8293482943146457,3.317393177258583
$10,3 hrs,12 oz,Easy,Spill Resistant,3.0,1.0,3.0,0.8,7.8,2.2,0.4389203821389645,0.965624840705722,4.389203821389645
$10,3 hrs,12 oz,Easy,Leak Resistant,3.0,1.0,3.0,1.0,8.0,2.0,0.5703180868891953,1.1406361737783905,5.703180868891953
$10,3 hrs,20 oz,Difficult,Slosh Resistant,3.0,2.6,1.0,0.5,7.1,2.9000000000000004,0.17350558329212276,0.503166191547156,1.7350558329212276
$10,3 hrs,20 oz,Difficult,Spill Resistant,3.0,2.6,1.0,0.8,7.3999999999999995,2.6000000000000005,0.2509102447697151,0.6523666364012594,2.509102447697151
$10,3 hrs,20 oz,Difficult,Leak Resistant,3.0,2.6,1.0,1.0,7.6,2.4000000000000004,0.360425124010939,0.8650202976262538,3.6042512401093902
$10,3 hrs,20 oz,Fair,Slosh Resistant,3.0,2.6,2.2,0.5,8.3,1.6999999999999993,0.2985001726238156,0.5074502934604863,2.9850017262381563
$10,3 hrs,20 oz,Fair,Spill Resistant,3.0,2.6,2.2,0.8,8.6,1.4000000000000004,0.4085470646809682,0.5719658905533556,4.085470646809682
$10,3 hrs,20 oz,Fair,Leak Resistant,3.0,2.6,2.2,1.0,8.8,1.1999999999999993,0.5469201724344718,0.6563042069213657,5.4692017243447175
$10,3 hrs,20 oz,Easy,Slosh Resistant,3.0,2.6,3.0,0.5,9.1,0.9000000000000004,0.3848337928238329,0.34635041354144974,3.8483379282383288
$10,3 hrs,20 oz,Easy,Spill Resistant,3.0,2.6,3.0,0.8,9.4,0.5999999999999996,0.509006929788957,0.30540415787337405,5.0900692978895705
$10,3 hrs,20 oz,Easy,Leak Resistant,3.0,2.6,3.0,1.0,9.6,0.40000000000000036,0.6491240361362764,0.2596496144545108,6.491240361362765
$10,3 hrs,32 0z,Difficult,Slosh Resistant,3.0,2.8,1.0,0.5,7.3,2.7,0.15321006222079855,0.4136671679961561,1.5321006222079856
$10,3 hrs,32 0z,Difficult,Spill Resistant,3.0,2.8,1.0,0.8,7.6,2.4000000000000004,0.21977343357306459,0.5274562405753551,2.197734335730646
$10,3 hrs,32 0z,Difficult,Leak Resistant,3.0,2.8,1.0,1.0,7.8,2.2,0.3166085925148577,0.696538903532687,3.1660859251485767
$10,3 hrs,32 0z,Fair,Slosh Resistant,3.0,2.8,2.2,0.5,8.5,1.5,0.2579213737722622,0.3868820606583933,2.579213737722622
$10,3 hrs,32 0z,Fair,Spill Resistant,3.0,2.8,2.2,0.8,8.8,1.1999999999999993,0.35138918906946554,0.4216670268833584,3.5138918906946555
$10,3 hrs,32 0z,Fair,Leak Resistant,3.0,2.8,2.2,1.0,9.0,1.0,0.4754343861813377,0.4754343861813377,4.754343861813377
$10,3 hrs,32 0z,Easy,Slosh Resistant,3.0,2.8,3.0,0.5,9.3,0.6999999999999993,0.3339470107323117,0.23376290751261794,3.339470107323117
$10,3 hrs,32 0z,Easy,Spill Resistant,3.0,2.8,3.0,0.8,9.600000000000001,0.3999999999999986,0.4409846218337835,0.17639384873351277,4.409846218337835
$10,3 hrs,32 0z,Easy,Leak Resistant,3.0,2.8,3.0,1.0,9.8,0.1999999999999993,0.568257625256788,0.1136515250513572,5.6825762525678805
$5,0.5 hrs,12 oz,Difficult,Slosh Resistant,0.5,1.0,1.0,0.5,3.0,2.0,0.1703717627437453,0.3407435254874906,0.8518588137187265
$5,0.5 hrs,12 oz,Difficult,Spill Resistant,0.5,1.0,1.0,0.8,3.3,1.7000000000000002,0.22164839116789575,0.3768022649854228,1.1082419558394787
$5,0.5 hrs,12 oz,Difficult,Leak Resistant,0.5,1.0,1.0,1.0,3.5,1.5,0.29623116237039654,0.4443467435555948,1.4811558118519828
$5,0.5 hrs,12 oz,Fair,Slosh Resistant,0.5,1.0,2.2,0.5,4.2,0.7999999999999998,0.2556035155590181,0.20448281244721445,1.2780175777950906
$5,0.5 hrs,12 oz,Fair,Spill Resistant,0.5,1.0,2.2,0.8,4.5,0.5,0.3299588166137559,0.16497940830687796,1.6497940830687796
$5,0.5 hrs,12 oz,Fair,Leak Resistant,0.5,1.0,2.2,1.0,4.7,0.2999999999999998,0.43294291628160536,0.12988287488448153,2.1647145814080266
$5,0.5 hrs,12 oz,Easy,Slosh Resistant,0.5,1.0,3.0,0.5,5.0,0.0,0.3180477116574088,0.0,1.590238558287044
$5,0.5 hrs,12 oz,Easy,Spill Resistant,0.5,1.0,3.0,0.8,5.3,-0.2999999999999998,0.40525855228665375,-0.12157756568599605,2.0262927614332686
$5,0.5 hrs,12 oz,Easy,Leak Resistant,0.5,1.0,3.0,1.0,5.5,-0.5,0.516624389155995,-0.2583121945779975,2.5831219457799746
$5,0.5 hrs,20 oz,Difficult,Slosh Resistant,0.5,2.6,1.0,0.5,4.6,0.40000000000000036,0.18824531233139066,0.07529812493255633,0.9412265616569533
